# /home/contrera/soft/github/get_homologues//pfam_enrich.pl -d cds_est_homologues -c clusters_cds -x clusters_cds_t3/pangenome_matrix_t0__core_list.txt -n 1 -s 0 -e 1 -t greater -p 1.00 -r SBCC073 -f 0

# parsing clusters...
# 39538 sequences extracted from 112499 clusters

# total experiment sequence ids = 17564
# total control    sequence ids = 39538

# parse_Pfam_freqs: set1 = 3441 Pfams set2 = 3863 Pfams

# fisher exact test type: 'greater'
# multi-testing p-value adjustment: fdr
# adjusted p-value threshold: 1

# total annotated domains: experiment=12055 control=19558

#PfamID	counts(exp)	counts(ctr)	freq(exp)	freq(ctr)	p-value	p-value(adj)	description
PF00702	24	30	1.991e-03	1.534e-03	2.069e-01	9.394e-01	haloacid dehalogenase-like hydrolase
PF00291	12	13	9.954e-04	6.647e-04	2.078e-01	9.394e-01	Pyridoxal-phosphate dependent enzyme
PF01363	12	13	9.954e-04	6.647e-04	2.078e-01	9.394e-01	FYVE zinc finger
PF00350	9	9	7.466e-04	4.602e-04	2.120e-01	9.394e-01	Dynamin family
PF07059	9	9	7.466e-04	4.602e-04	2.120e-01	9.394e-01	Protein of unknown function (DUF1336)
PF00293	14	16	1.161e-03	8.181e-04	2.180e-01	9.394e-01	NUDIX domain
PF00520	14	16	1.161e-03	8.181e-04	2.180e-01	9.394e-01	Ion transport protein
PF00782	14	16	1.161e-03	8.181e-04	2.180e-01	9.394e-01	Dual specificity phosphatase, catalytic domain
PF00155	23	29	1.908e-03	1.483e-03	2.219e-01	9.394e-01	Aminotransferase class I and II
PF00443	23	29	1.908e-03	1.483e-03	2.219e-01	9.394e-01	Ubiquitin carboxyl-terminal hydrolase
PF00454	11	12	9.125e-04	6.136e-04	2.270e-01	9.394e-01	Phosphatidylinositol 3- and 4-kinase
PF00675	11	12	9.125e-04	6.136e-04	2.270e-01	9.394e-01	Insulinase (Peptidase family M16)
PF01412	11	12	9.125e-04	6.136e-04	2.270e-01	9.394e-01	Putative GTPase activating protein for Arf
PF04055	11	12	9.125e-04	6.136e-04	2.270e-01	9.394e-01	Radical SAM superfamily
PF05739	11	12	9.125e-04	6.136e-04	2.270e-01	9.394e-01	SNARE domain
PF00071	41	56	3.401e-03	2.863e-03	2.309e-01	9.394e-01	Ras family
PF00288	8	8	6.636e-04	4.090e-04	2.333e-01	9.394e-01	GHMP kinases N terminal domain
PF00795	8	8	6.636e-04	4.090e-04	2.333e-01	9.394e-01	Carbon-nitrogen hydrolase
PF00855	8	8	6.636e-04	4.090e-04	2.333e-01	9.394e-01	PWWP domain
PF03134	8	8	6.636e-04	4.090e-04	2.333e-01	9.394e-01	TB2/DP1, HVA22 family
PF12165	8	8	6.636e-04	4.090e-04	2.333e-01	9.394e-01	Alfin
PF13242	8	8	6.636e-04	4.090e-04	2.333e-01	9.394e-01	HAD-hyrolase-like
PF16450	8	8	6.636e-04	4.090e-04	2.333e-01	9.394e-01	Proteasomal ATPase OB C-terminal domain
PF00027	13	15	1.078e-03	7.669e-04	2.372e-01	9.394e-01	Cyclic nucleotide-binding domain
PF00294	13	15	1.078e-03	7.669e-04	2.372e-01	9.394e-01	pfkB family carbohydrate kinase
PF00627	13	15	1.078e-03	7.669e-04	2.372e-01	9.394e-01	UBA/TS-N domain
PF03372	15	18	1.244e-03	9.203e-04	2.442e-01	9.394e-01	Endonuclease/Exonuclease/phosphatase family
PF00574	10	11	8.295e-04	5.624e-04	2.487e-01	9.394e-01	Clp protease
PF00689	10	11	8.295e-04	5.624e-04	2.487e-01	9.394e-01	Cation transporting ATPase, C-terminus
PF02990	10	11	8.295e-04	5.624e-04	2.487e-01	9.394e-01	Endomembrane protein 70
PF05033	10	11	8.295e-04	5.624e-04	2.487e-01	9.394e-01	Pre-SET motif
PF00534	17	21	1.410e-03	1.074e-03	2.492e-01	9.394e-01	Glycosyl transferases group 1
PF12697	19	24	1.576e-03	1.227e-03	2.527e-01	9.394e-01	Alpha/beta hydrolase family
PF00122	23	30	1.908e-03	1.534e-03	2.570e-01	9.394e-01	E1-E2 ATPase
PF00023	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	Ankyrin repeat
PF00128	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	Alpha amylase, catalytic domain
PF00632	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	HECT-domain (ubiquitin-transferase)
PF00875	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	DNA photolyase
PF01189	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	16S rRNA methyltransferase RsmB/F
PF01428	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	AN1-like Zinc finger
PF02045	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B
PF02212	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	Dynamin GTPase effector domain
PF02791	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	DDT domain
PF07227	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	PHD - plant homeodomain finger protein
PF08033	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	Sec23/Sec24 beta-sandwich domain
PF08711	7	7	5.807e-04	3.579e-04	2.579e-01	9.394e-01	TFIIS helical bundle-like domain
PF00856	27	36	2.240e-03	1.841e-03	2.588e-01	9.394e-01	SET domain
PF03109	14	17	1.161e-03	8.692e-04	2.649e-01	9.394e-01	ABC1 family
PF13419	16	20	1.327e-03	1.023e-03	2.692e-01	9.394e-01	Haloacid dehalogenase-like hydrolase
PF00198	9	10	7.466e-04	5.113e-04	2.733e-01	9.394e-01	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00406	9	10	7.466e-04	5.113e-04	2.733e-01	9.394e-01	Adenylate kinase
PF00498	9	10	7.466e-04	5.113e-04	2.733e-01	9.394e-01	FHA domain
PF00571	20	26	1.659e-03	1.329e-03	2.739e-01	9.394e-01	CBS domain
PF00481	47	67	3.899e-03	3.426e-03	2.785e-01	9.394e-01	Protein phosphatase 2C
PF00004	58	84	4.811e-03	4.295e-03	2.804e-01	9.394e-01	ATPase family associated with various cellular activities (AAA)
PF05193	11	13	9.125e-04	6.647e-04	2.822e-01	9.394e-01	Peptidase M16 inactive domain
PF13086	11	13	9.125e-04	6.647e-04	2.822e-01	9.394e-01	AAA domain
PF13460	11	13	9.125e-04	6.647e-04	2.822e-01	9.394e-01	NAD(P)H-binding
PF00244	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	14-3-3 protein
PF00266	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Aminotransferase class-V
PF00397	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	WW domain
PF00614	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Phospholipase D Active site motif
PF00787	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	PX domain
PF01031	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Dynamin central region
PF01416	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	tRNA pseudouridine synthase
PF01590	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	GAF domain
PF02770	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Acyl-CoA dehydrogenase, middle domain
PF02845	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	CUE domain
PF04810	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Sec23/Sec24 zinc finger
PF04884	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Vitamin B6 photo-protection and homoeostasis
PF04969	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	CS domain
PF05542	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Protein of unknown function (DUF760)
PF05623	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Protein of unknown function (DUF789)
PF08264	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	Anticodon-binding domain of tRNA ligase
PF13091	6	6	4.977e-04	3.068e-04	2.867e-01	9.394e-01	PLD-like domain
PF00557	13	16	1.078e-03	8.181e-04	2.877e-01	9.394e-01	Metallopeptidase family M24
PF00612	17	22	1.410e-03	1.125e-03	2.930e-01	9.394e-01	IQ calmodulin-binding motif
PF00153	44	63	3.650e-03	3.221e-03	2.943e-01	9.394e-01	Mitochondrial carrier protein
PF00156	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	Phosphoribosyl transferase domain
PF00485	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	Phosphoribulokinase / Uridine kinase family
PF00587	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	tRNA synthetase class II core domain (G, H, P, S and T)
PF00928	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	Adaptor complexes medium subunit family
PF03129	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	Anticodon binding domain
PF04811	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	Sec23/Sec24 trunk domain
PF07496	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	CW-type Zinc Finger
PF07800	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	Protein of unknown function (DUF1644)
PF14381	8	9	6.636e-04	4.602e-04	3.013e-01	9.394e-01	Ethylene-responsive protein kinase Le-CTR1
PF00035	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	Double-stranded RNA binding motif
PF00365	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	Phosphofructokinase
PF03810	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	Importin-beta N-terminal domain
PF04146	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	YT521-B-like domain
PF07724	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	AAA domain (Cdc48 subfamily)
PF13365	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	Trypsin-like peptidase domain
PF13923	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	Zinc finger, C3HC4 type (RING finger)
PF16656	10	12	8.295e-04	6.136e-04	3.088e-01	9.394e-01	Purple acid Phosphatase, N-terminal domain
PF07717	12	15	9.954e-04	7.669e-04	3.128e-01	9.394e-01	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF03031	14	18	1.161e-03	9.203e-04	3.149e-01	9.394e-01	NLI interacting factor-like phosphatase
PF00583	16	21	1.327e-03	1.074e-03	3.156e-01	9.394e-01	Acetyltransferase (GNAT) family
PF00109	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Beta-ketoacyl synthase, N-terminal domain
PF00274	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Fructose-bisphosphate aldolase class-I
PF00316	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Fructose-1-6-bisphosphatase, N-terminal domain
PF00441	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Acyl-CoA dehydrogenase, C-terminal domain
PF00970	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Oxidoreductase FAD-binding domain
PF01103	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Omp85 superfamily domain
PF01369	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Sec7 domain
PF01805	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Surp module
PF01979	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Amidohydrolase family
PF02148	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Zn-finger in ubiquitin-hydrolases and other protein
PF02847	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	MA3 domain
PF03178	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	CPSF A subunit region
PF03441	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	FAD binding domain of DNA photolyase
PF03462	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	PCRF domain
PF04130	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Gamma tubulin complex component C-terminal
PF04427	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Brix domain
PF04607	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Region found in RelA / SpoT proteins
PF04832	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	SOUL heme-binding protein
PF05641	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Agenet domain
PF07228	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Stage II sporulation protein E (SpoIIE)
PF07707	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	BTB And C-terminal Kelch
PF07973	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Threonyl and Alanyl tRNA synthetase second additional domain
PF08662	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Eukaryotic translation initiation factor eIF2A
PF09273	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Rubisco LSMT substrate-binding
PF10184	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Uncharacterized conserved protein (DUF2358)
PF10433	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Mono-functional DNA-alkylating methyl methanesulfonate N-term
PF13328	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	HD domain
PF13832	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	PHD-zinc-finger like domain
PF13850	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)
PF14608	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	RNA-binding, Nab2-type zinc finger
PF14667	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Polysaccharide biosynthesis C-terminal domain
PF16487	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Mid domain of argonaute
PF16544	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Homodimerisation region of STAR domain protein
PF17681	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Gamma tubulin complex component N-terminal
PF18791	5	5	4.148e-04	2.556e-04	3.210e-01	9.394e-01	Transport inhibitor response 1 protein domain
PF00179	40	58	3.318e-03	2.966e-03	3.270e-01	9.394e-01	Ubiquitin-conjugating enzyme
PF01370	23	32	1.908e-03	1.636e-03	3.330e-01	9.394e-01	NAD dependent epimerase/dehydratase family
PF00133	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	tRNA synthetases class I (I, L, M and V)
PF00355	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Rieske [2Fe-2S] domain
PF00512	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	His Kinase A (phospho-acceptor) domain
PF00626	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Gelsolin repeat
PF00637	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Region in Clathrin and VPS
PF00849	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	RNA pseudouridylate synthase
PF01467	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Cytidylyltransferase-like
PF02182	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	SAD/SRA domain
PF03105	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	SPX domain
PF04815	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Sec23/Sec24 helical domain
PF08699	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Argonaute linker 1 domain
PF10294	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Lysine methyltransferase
PF10539	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	Development and cell death domain
PF17820	7	8	5.807e-04	4.090e-04	3.335e-01	9.394e-01	PDZ domain
PF00364	9	11	7.466e-04	5.624e-04	3.388e-01	9.394e-01	Biotin-requiring enzyme
PF00679	9	11	7.466e-04	5.624e-04	3.388e-01	9.394e-01	Elongation factor G C-terminus
PF01398	9	11	7.466e-04	5.624e-04	3.388e-01	9.394e-01	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF06813	9	11	7.466e-04	5.624e-04	3.388e-01	9.394e-01	Nodulin-like
PF10431	9	11	7.466e-04	5.624e-04	3.388e-01	9.394e-01	C-terminal, D2-small domain, of ClpB protein
PF13415	9	11	7.466e-04	5.624e-04	3.388e-01	9.394e-01	Galactose oxidase, central domain
PF08241	17	23	1.410e-03	1.176e-03	3.389e-01	9.394e-01	Methyltransferase domain
PF00009	15	20	1.244e-03	1.023e-03	3.402e-01	9.394e-01	Elongation factor Tu GTP binding domain
PF00111	11	14	9.125e-04	7.158e-04	3.407e-01	9.394e-01	2Fe-2S iron-sulfur cluster binding domain
PF00173	11	14	9.125e-04	7.158e-04	3.407e-01	9.394e-01	Cytochrome b5-like Heme/Steroid binding domain
PF00581	11	14	9.125e-04	7.158e-04	3.407e-01	9.394e-01	Rhodanese-like domain
PF00582	11	14	9.125e-04	7.158e-04	3.407e-01	9.394e-01	Universal stress protein family
PF01217	11	14	9.125e-04	7.158e-04	3.407e-01	9.394e-01	Clathrin adaptor complex small chain
PF00168	30	43	2.489e-03	2.199e-03	3.418e-01	9.394e-01	C2 domain
PF00149	33	48	2.737e-03	2.454e-03	3.536e-01	9.394e-01	Calcineurin-like phosphoesterase
PF12937	18	25	1.493e-03	1.278e-03	3.609e-01	9.394e-01	F-box-like
PF00205	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Thiamine pyrophosphate enzyme, central domain
PF00370	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	FGGY family of carbohydrate kinases, N-terminal domain
PF00425	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	chorismate binding enzyme
PF00445	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Ribonuclease T2 family
PF00464	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Serine hydroxymethyltransferase
PF00562	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	RNA polymerase Rpb2, domain 6
PF00579	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	tRNA synthetases class I (W and Y)
PF00810	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	ER lumen protein retaining receptor
PF00887	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Acyl CoA binding protein
PF00939	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Sodium:sulfate symporter transmembrane region
PF00956	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Nucleosome assembly protein (NAP)
PF01008	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Initiation factor 2 subunit family
PF01027	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Inhibitor of apoptosis-promoting Bax1
PF01106	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	NifU-like domain
PF01156	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Inosine-uridine preferring nucleoside hydrolase
PF01169	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Uncharacterized protein family UPF0016
PF01214	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Casein kinase II regulatory subunit
PF01266	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	FAD dependent oxidoreductase
PF01388	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	ARID/BRIGHT DNA binding domain
PF01433	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Peptidase family M1 domain
PF01480	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	PWI domain
PF01633	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Choline/ethanolamine kinase
PF01693	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Caulimovirus viroplasmin
PF01704	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	UTP--glucose-1-phosphate uridylyltransferase
PF01754	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	A20-like zinc finger
PF01833	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	IPT/TIG domain
PF02096	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	60Kd inner membrane protein
PF02138	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Beige/BEACH domain
PF02260	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	FATC domain
PF02492	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	CobW/HypB/UreG, nucleotide-binding domain
PF02622	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Uncharacterized ACR, COG1678
PF02786	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Carbamoyl-phosphate synthase L chain, ATP binding domain
PF02824	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	TGS domain
PF02878	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02881	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	SRP54-type protein, helical bundle domain
PF02922	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02996	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Prefoldin subunit
PF03399	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	SAC3/GANP family
PF04059	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	RNA recognition motif 2
PF04560	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	RNA polymerase Rpb2, domain 7
PF04563	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	RNA polymerase beta subunit
PF04565	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	RNA polymerase Rpb2, domain 3
PF04873	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Ethylene insensitive 3
PF05634	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	APO RNA-binding
PF06454	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Protein of unknown function (DUF1084)
PF07145	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Ataxin-2 C-terminal region
PF07534	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	TLD
PF07646	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Kelch motif
PF07970	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Endoplasmic reticulum vesicle transporter
PF08148	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	DSHCT (NUC185) domain
PF08590	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Domain of unknown function (DUF1771)
PF08613	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Cyclin
PF09325	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Vps5 C terminal like
PF10409	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	C2 domain of PTEN tumour-suppressor protein
PF10602	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	26S proteasome subunit RPN7
PF11835	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	RRM-like domain
PF11886	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Translocase of chloroplast 159/132, membrane anchor domain
PF12171	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Zinc-finger double-stranded RNA-binding
PF12315	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Protein DA1
PF12357	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Phospholipase D C terminal
PF12767	4	4	3.318e-04	2.045e-04	3.630e-01	9.394e-01	Transcriptional regulator of RNA polII, SAGA, subunit
